account_id,owner,balance,city
IF272591524126030854,Maverick,86992.33,Suonenjoki
IF120268585344942802,Emil,27686.86,"Närpiö"
IF821824171234177977,Sterling,86408.32,Lohja
IF571257725708779761,Beryl,18173.49,Loimaa
IF975747895483370924,Liam,44934.22,Lieksa
IF348191962972784910,Alpha,74001.99,"Hyvinkää"
IF048601040643381230,Roxy,90028.01,Loimaa
IF507127534948371174,Petronel,32183.77,"Haapajärvi"
IF022151509387586822,Jools,41375.47,Porvoo
IF829771620290428808,Eleanora,49472.54,Suonenjoki
IF308288374419981995,Lorri,86646.41,Kiuruvesi
IF802904716005283981,Eleanora,48015.45,Kauniainen
IF625174475473522247,Ibbie,29416.04,Lapua
IF819942028394231354,Liam,12137.95,Turku
IF290166083511378055,Jools,72045.84,Raasepori
IF973932048897262969,Alpha,66131.64,Kalajoki
IF311450458115255211,Eleanora,99635.9,Porvoo
IF337776315195614000,Alpha,93297.12,Savonlinna
IF674101655923428656,Petronel,25360.87,Salo
IF967844592965506904,Modesty,86571.31,Huittinen
IF082760345983253025,Liam,93249.1,Maarianhamina
IF393465236501098518,Amberlynn,46880.89,Joensuu
IF578963161852013249,Judi,30349.06,Kokkola
IF878173694429080344,Sterling,78355.87,Imatra
IF380638591145039324,Deon,59644.68,Oulu
IF073826200748222590,Forrest,98084.55,"Mänttä"
IF839516892681268113,Forrest,42464.89,Kristiinankaupunki
IF015371219060149937,Jax,8135.71,Espoo
IF306369933163800846,Forrest,53806.81,"Seinäjoki"
IF421571204638810749,Amberlynn,2410.51,Parainen
IF047216862997927439,Jools,9161.97,"Saarijärvi"
IF820665735354547559,Maverick,18087.91,Valkeakoski
IF983631726004428331,Petronel,11117.29,"Äänekoski"
IF347084640195005321,Forrest,11856.58,Ikaalinen
IF101994702392520871,Staci,27159.99,Rovaniemi
IF319007832578114693,Felicity,11755.33,Imatra
IF457296440258701692,Lorri,96678.6,Kouvola
IF798130596163537853,Marigold,82746.12,"Pudasjärvi"
IF427507053384776584,Beryl,86474.57,Sastamala
IF008560268759304713,Judi,56927.28,Kangasala
IF174468109964465508,Alpha,62465.66,"Haapajärvi"
IF309588040957040248,Maverick,96458.15,Harjavalta
IF281840022739024531,Staci,61146.57,Kemi
IF739083847567503106,Willard,2385.86,Lahti
IF995652276224516218,Lorri,88323.57,Heinola
IF134913937458478428,Staci,83720.55,Parkano
IF884714137629018196,Emil,84868,Joensuu
IF402032485767941160,Felicity,35705.54,Raasepori
IF088821716806781807,Dana,37426.98,Pietarsaari
IF195978336839611611,Sterling,24773.09,Karkkila
IF058787391016649042,Willard,69330.91,Kerava
IF502646649493485318,Kaylin,47613.55,Nivala
IF400118839236284426,Lorri,29906.62,Kiuruvesi
IF157450743714232283,Emmet,31186.87,Loimaa
IF235747994236160921,Willard,89151.5,Mikkeli
IF206271982026577894,Rosabel,31360.91,Savonlinna
IF881699755596157924,Chad,5855.46,Orivesi
IF370680505428150885,Emil,6162.3,Ylivieska
IF976736299605324650,Jaslene,80127.89,Hanko
IF027402123251177494,Kerry,63260.91,"Närpiö"
IF766115264835900904,Davena,28908.1,Ikaalinen
IF865118583509108314,Liam,6750.65,Ikaalinen
IF213476549047095247,Jaslene,64085.43,Kurikka
IF085895819159867473,Kyrie,87771.93,"Järvenpää"
IF813062216147993462,Felicity,82416.31,Suonenjoki
IF580758845806491513,Bernetta,85944.77,Kerava
IF668108497523308002,Beryl,56635.77,Ikaalinen
IF291097199731251448,Beryl,1885.34,"Ähtäri"
IF356566317510713054,Judi,1734.69,"Äänekoski"
IF321452471346798012,Roxy,97123.87,"Pieksämäki"
IF228345904353127737,Alpha,77996.31,Savonlinna
IF383727519974283027,Sterling,95402.94,"Haapajärvi"
IF111496871871524131,Roxy,60576.16,"Seinäjoki"
IF411437254736766240,Jaslene,32633.7,Kitee
IF885199556901639315,Jools,62476.01,Kiuruvesi
IF786040867356273422,Alpha,9681.95,Paimio
IF759092993587059629,Lucinda,97576.38,"Jämsä"
IF361149482053273165,Eleanora,9766.07,Kerava
IF192640403979697332,Deon,7033.52,Lieksa
IF754075773793888499,Lucinda,34126.58,Parainen
IF307447309252463702,Ibbie,19968.74,Alavus
IF655873937837171543,Maverick,99707.92,"Pieksämäki"
IF693724162084346158,Willard,16165.01,"Alajärvi"
IF786261807465921025,Staci,56397.03,"Saarijärvi"
IF932727811174408868,Ibbie,15476.01,Helsinki
IF056458876839408103,Roxy,95982.09,Kristiinankaupunki
IF241345623625939101,Chad,85564.6,Heinola
IF349406593498277626,Kerry,13789.63,Suonenjoki
IF074221514075396037,Emil,64113.49,Kiuruvesi
IF834820249897594733,Lorri,60843.89,Somero
IF437036202474044875,Rosabel,34362.54,Somero
IF864511755913186879,Maverick,57933.46,Viitasaari
IF657329759524214170,Staci,72579.04,Kauhajoki
IF148154947797740234,Jools,5941.42,Pori
IF415440894339265758,Lorri,95378.17,Kurikka
IF478193385103102875,Rosabel,51221.26,Mikkeli
IF527533258818597278,Rosabel,84792.85,Joensuu
IF640208961273433390,Deon,94183.93,Parkano
IF148666535008458480,Felicity,23546.07,Kokkola
IF391471553808363329,Kaylin,24400.13,Kemi
IF088341732658316406,Lucinda,62852.51,"Hämeenlinna"
IF146427665504643687,Emmet,54905.21,Ikaalinen
IF849751938050051382,Eleanora,28020.52,"Jyväskylä"
IF419555802382216348,Maverick,95423.95,Raisio
IF767913396020077820,Ainsley,1398.61,Keuruu
IF942304752854572537,Forrest,4344.06,Ikaalinen
IF270933473942238034,Emil,95823.33,"Haapajärvi"
IF432767533353758433,Modesty,20273.16,Kokkola
IF041729111124772643,Jools,60678.68,Kauniainen
IF234359518622679131,Jools,37566.18,Vaasa
IF680328558281511495,Ibbie,35865.78,Uusikaarlepyy
IF946595480704321334,Emmet,5498.32,Espoo
IF611322286387977823,Marigold,19921.24,Kalajoki
IF715735666633206467,Jaslene,34043.23,Forssa
IF102513418862771679,Lucinda,90481.64,Kauniainen
IF770461374084011923,Ibbie,87238.55,Kristiinankaupunki
IF290967391679949613,Sterling,33647.1,"Närpiö"
IF587541260668110880,Lucinda,7869.86,Uusikaupunki
IF249410468207476185,Petronel,24367.36,"Seinäjoki"
IF619472405171453023,Beryl,55630.06,"Kemijärvi"
IF525392076236726468,Liam,57614.49,Uusikaupunki
IF886400957127165818,Modesty,89705.02,Kotka
IF140889467514182588,Marigold,37296.32,Rauma
IF542190264850716544,Emmet,73829.04,"Järvenpää"
IF949277701972163027,Eleanora,54923.16,Kajaani
IF991050055872316792,Kerry,43380.09,"Hyvinkää"
IF727731422679135103,Modesty,41471.18,Heinola
IF618902824133623100,Forrest,64136.4,Tornio
IF001064848955298413,Jax,62445.81,"Jyväskylä"
IF846885225616657841,Dana,42181.36,Parainen
IF737120983144140421,Emil,76938.07,"Ähtäri"
IF779199512060096113,Judith,83296.69,Kangasala
IF965752588106121514,Beryl,52083.29,"Alajärvi"
IF741079411480011292,Emil,43442.13,Naantali
IF620459980734777659,Petronel,5161.78,Pietarsaari
IF204349942882152047,Jaslene,92611.77,Outokumpu
IF790937290176077863,Jax,90248.98,Joensuu
IF492630189980512854,Willard,47411.19,"Närpiö"
IF365534186896002317,Ibbie,9831.19,Alavus
IF869856994860819753,Alpha,48361.12,Nokia
IF903797169344338880,Beryl,74022.12,Kauhava
IF992903508160501046,Jools,29409.72,Oulainen
IF353129156409363818,Jax,51584.48,Hamina
IF749094725431084398,Modesty,3138.88,Paimio
IF459809415573786090,Felicity,5762.53,Pietarsaari
IF500660115907783392,Judi,8260.51,"Pyhäjärvi"
IF947445488891903293,Liam,68408.93,Ulvila
IF508862059924965805,Emil,69591.87,Suonenjoki
IF421525290438684789,Lorri,22702.16,Kouvola
IF721514589847250468,Judi,71911.69,Kangasala
IF297416025283560060,Kyrie,47078.18,Orivesi
IF718067899172164644,Judith,76934.87,"Haapajärvi"
IF900640689200793278,Jax,31441.79,Nokia
IF069274972575305546,Ibbie,68074.8,Tampere
IF180714139746929646,Amberlynn,47768.88,Suonenjoki
IF781130929951655096,Sterling,50758.06,Alavus
IF088531116281806241,Maverick,19449.6,Kauhava
IF366321829980099106,Bernetta,16137.27,Kokkola
IF653790472221925809,Dana,46238.59,"Äänekoski"
IF788495999388636860,Judi,4649.75,Kouvola
IF322634142419434291,Forrest,65640.56,Vantaa
IF125467330798342701,Lorri,16219.55,Paimio
IF543878960062180528,Jax,17366.3,Lahti
IF479722276030870720,Kyrie,78895.52,Viitasaari
IF798845546047654498,Eleanora,18341.43,Rauma
IF533043575689417179,Sterling,14681.94,"Jämsä"
IF158214388692974429,Deon,86137.6,Kiuruvesi
IF901634773577723093,Rosabel,30214.82,Huittinen
IF433339244356187654,Emmet,46235.37,Forssa
IF134023358985477982,Judith,11000.2,"Hämeenlinna"
IF309058344639745405,Alpha,38969.48,Naantali
IF290724329422687576,Ainsley,22049.2,Harjavalta
IF928862846075469907,Jaslene,76336.34,Espoo
IF015738976831080349,Ainsley,26212.04,Joensuu
IF117793788382469546,Sterling,55087.44,"Alajärvi"
IF462320379401369935,Kerry,74232.9,Mikkeli
IF030676976687974213,Kyrie,86331.06,Helsinki
IF419445638394450207,Deon,2033.27,Kristiinankaupunki
IF786846405764752518,Lorri,22344.48,Iisalmi
IF195048041037490604,Kerry,19447.88,Heinola
IF835347131470664909,Bernetta,98366.06,Maarianhamina
IF666379119506352536,Amberlynn,73067.19,Kalajoki
IF654572636473919360,Bernetta,2943.46,Sastamala
